lyrics,emotion
sorry sorry aku sudah lupakan kamu,marah
sorry sorry aku sudah move on dari mu,marah
sorry sorry aku sudah lupakan kamu,marah
ku memang masih lugu hanya tau kamu,marah
dan tidak berpikir untuk dekat yang lain,marah
kini aku tau kamu aku tau asli mu,marah
sorry sorry aku sudah lupakan kamu,marah
kunikmati kebahagiaan ini. tidak mengapa tidak ada dirimu. ada teman teman yang menemani. aku sudah tidak bodoh lagi. seperti waktu kau bohongi aku. sampai aku tertipu. tapi akhirnya aku move on dari mu. aku memang masih lugu hanya tau kamu. dan tidak berpikir untuk dekat yang lain. kini aku tau kamu aku tau asli mu. sorry sorry aku sudah lupakan kamu. akhirnya aku bisa lupakan kamu. kamu yang pernah baperin aku. cukup cukup sudah tidak mau lagi. aku sudah tidak bodoh lagi. seperti waktu kau bohongi aku. sampai aku tertipu. tapi akhirnya aku move on dari mu. aku memang masih lugu hanya tau kamu. dan tidak berpikir untuk dekat yang lain. kini aku tau kamu aku tau asli mu. sorry sorry aku sudah lupakan kamu. tidak kan lagi aku tertipu oleh bujuk rayumu. tidak kan mempan gombalan mu lagi. aku memang masih lugu hanya tau kamu. dan tidak berpikir untuk dekat yang lain. kini aku tahu kamu aku tau asli mu. sorry sorry aku sudah lupakan kamu. aku memang masih lugu hanya tau kamu. dan tidak berpikir untuk dekat yang lain. kini aku tahu kamu aku tau asli mu. sorry sorry aku sudah lupakan kamu. aku memang masih lugu hanya tau kamu. dan tidak berpikir untuk dekat yang lain. kini aku tahu kamu aku tau asli mu. sorry sorry aku sudah lupakan kamu. aku memang masih lugu hanya tau kamu. dan tidak berpikir untuk dekat yang lain. kini aku tahu kamu aku tau asli mu. sorry sorry aku sudah lupakan kamu. sorry sorry aku sudah move on dari mu. sorry sorry aku sudah lupakan kamu ku memang masih lugu hanya tau kamu. dan tidak berpikir untuk dekat yang lain. kini aku tau kamu aku tau asli mu. sorry sorry aku sudah lupakan kamu,marah
selayaknya engkau tahu,sedih
betapa aku mencintaimu,sedih
kau tenangkanku dari mimpi burukku,sedih
selayaknya kau mengerti,sedih
betapa engkau aku kagumi,sedih
kau telah tinggal di dalam palung hati,sedih
melihat engkau bersamanya,sedih
namun aku mencoba untuk tegar menghadapinya,sedih
jangan kau menangis lagi,sedih
tidak sanggup aku melihatnya,sedih
sekarang kau pilih diriku atau dirinya,sedih
kau tuliskan cerita tentang engkau dan dia,sedih
yang membuat hatiku semakin terluka,sedih
sudah usai sudah cerita engkau dan aku,sedih
aku anggap sebagai bingkisan kalbu,sedih
aku tulis cerita tentang aku dan dia,sedih
sehingga membuatmu terluka,sedih
sudah usai sudah jangan menangis lagi,sedih
kurasa sampailah di sini,sedih
kau tuliskan cerita tentang engkau dan dia,sedih
membuat hatiku semakin terluka,sedih
sudah usai sudah cerita engkau dan aku,sedih
aku anggap sebagai bingkisan kalbu,sedih
kau tuliskan cerita tentang engkau dan dia,sedih
yang membuat hatiku semakin terluka,sedih
sudah usai sudah cerita engkau dan aku,sedih
aku anggap sebagai bingkisan kalbu,sedih
aku tulis cerita tentang aku dan dia,sedih
sehingga membuatmu terluka,sedih
sudah usai sudah jangan menagis lagi,sedih
kurasa sampailah di sini,sedih
aku tulis cerita tentang aku dan dia,sedih
sehingga membuatmu terluka,sedih
sudah usai sudah jangan menagis lagi,sedih
kurasa sampailah di sini kasih,sedih
kau tuliskan cerita tentang engkau dan dia,sedih
yang membuat hatiku semakin terluka,sedih
sudah usai sudah cerita engkau dan aku,sedih
aku anggap sebagai bingkisan kalbu,sedih
aku tulis cerita tentang aku dan dia,sedih
sehingga membuatmu terluka,sedih
sudah usai sudah jangan menangis lagi,sedih
kurasa sampailah di sini,sedih
selayaknya engkau tahu. betapa aku mencintaimu. kau tenangkanku dari mimpi burukku. selayaknya kau mengerti. betapa engkau aku kagumi. kau telah tinggal di dalam palung hati. betapa hancur hatiku. melihat engkau bersamanya. namun aku mencoba untuk tegar menghadapinya. jangan kau menangis lagi. tidak sanggup aku melihatnya. sekarang kau pilih diriku atau dirinya. kau tuliskan cerita tentang engkau dan dia. yang membuat hatiku semakin terluka. sudah usai sudah cerita engkau dan aku. aku anggap sebagai bingkisan kalbu. aku tulis cerita tentang aku dan dia. sehingga membuatmu terluka. sudah usai sudah jangan menangis lagi. kurasa sampailah di sini. kau tuliskan cerita tentang engkau dan dia. membuat hatiku semakin terluka. sudah usai sudah cerita engkau dan aku. aku anggap sebagai bingkisan kalbu. kau tuliskan cerita tentang engkau dan dia. yang membuat hatiku semakin terluka. sudah usai sudah cerita engkau dan aku. aku anggap sebagai bingkisan kalbu. aku tulis cerita tentang aku dan dia. sehingga membuatmu terluka. sudah usai sudah jangan menagis lagi. kurasa sampailah di sini. aku tulis cerita tentang aku dan dia. sehingga membuatmu terluka. sudah usai sudah jangan menagis lagi. kurasa sampailah di sini kasih kau tuliskan cerita tentang engkau dan dia. yang membuat hatiku semakin terluka. sudah usai sudah cerita engkau dan aku. aku anggap sebagai bingkisan kalbu. aku tulis cerita tentang aku dan dia. sehingga membuatmu terluka. sudah usai sudah jangan menangis lagi. kurasa sampailah di sini,sedih
asmara telah terkalibrasi frekuensi yang sama,bahagia
saatnya untuk mengikat janji merangkum indahnya,bahagia
laras rasa nihil ragu,bahagia
biar biarlah merayu di ruang biru,bahagia
bias kita jadi taksu gairah kalbu mendayu,bahagia
jadikan hanya aku satu satunya,bahagia
sang garwa pambage sang pelipur lara,bahagia
nyanyikan akukidung setia,bahagia
jadikan hanya aku satu satunya,bahagia
sang garwa pambage sang pelipur lara,bahagia
nyanyikan akukidung setia,bahagia
kini saatnya merangkai binar asmara,bahagia
melebur untuk satukan ego dalam indahnya,bahagia
berdansa dalam bahtera mahligai rasa,bahagia
merajut ketulusan jiwa,bahagia
mengabdi dalam indahnya kalbu,bahagia
mengukir ruang renjana selamanya,bahagia
jadikan hanya aku satu satunya,bahagia
sang garwa pambage sang pelipur lara,bahagia
nyanyikan akukidung setia,bahagia
jadikan hanya aku satu satunya,bahagia
sang garwa pambage sang pelipur lara,bahagia
nyanyikan akukidung setia,bahagia
berdansa dalam bahtera mahligai rasa,bahagia
merajut ketulusan jiwa,bahagia
mengabdi dalam indahnya kalbu,bahagia
mengukir ruang renjana selamanya,bahagia
jadikan hanya aku satu satunya,bahagia
sang garwa pambage sang pelipur lara,bahagia
nyanyikan akukidung setia,bahagia
jadikan hanya aku satu satunya,bahagia
sang garwa pambage sang pelipur lara,bahagia
nyanyikan akukidung setia,bahagia
asmara telah terkalibrasi,bahagia
asmara telah terkalibrasi,bahagia
dan jadikan akukidung setia,bahagia
asmara telah terkalibrasi,bahagia
asmara telah terkalibrasi,bahagia
dan jadikan akukidung setia,bahagia
jadikan hanya aku satu satunya,bahagia
sang garwa pambage sang pelipur lara,bahagia
nyanyikanku kidung setia,bahagia
jadikan hanya aku satu satunya,bahagia
sang garwa pambage sang pelipur lara,bahagia
nyanyikanku kidung setia,bahagia
asmara telah terkalibrasi frekuensi yang sama. saatnya untuk mengikat janji merangkum indahnya. laras rasa nihil ragu. biar biarlah merayu di ruang biru. bias kita jadi taksu gairah kalbu mendayu. sabda diramu. jadikan hanya aku satu satunya. sang garwa pambage sang pelipur lara. nyanyikan akukidung setia. jadikan hanya aku satu satunya. sang garwa pambage sang pelipur lara. nyanyikan akukidung setia. kini saatnya merangkai binar asmara. melebur untuk satukan ego dalam indahnya. berdansa dalam bahtera mahligai rasa. merajut ketulusan jiwa. mengabdi dalam indahnya kalbu. mengukir ruang renjana selamanya. jadikan hanya aku satu satunya. sang garwa pambage sang pelipur lara. nyanyikan akukidung setia. jadikan hanya aku satu satunya. sang garwa pambage sang pelipur lara. nyanyikan akukidung setia. berdansa dalam bahtera mahligai rasa. merajut ketulusan jiwa. mengabdi dalam indahnya kalbu. mengukir ruang renjana selamanya. jadikan hanya aku satu satunya. sang garwa pambage sang pelipur lara. nyanyikan akukidung setia. jadikan hanya aku satu satunya. sang garwa pambage sang pelipur lara. nyanyikan akukidung setia. asmara telah terkalibrasi. asmara telah terkalibrasi. dan jadikan akukidung setia. asmara telah terkalibrasi. asmara telah terkalibrasi. dan jadikan akukidung setia jadikan hanya aku satu satunya. sang garwa pambage sang pelipur lara. nyanyikanku kidung setia. jadikan hanya aku satu satunya. sang garwa pambage sang pelipur lara. nyanyikanku kidung setia,bahagia
saat datang rintik hujan,sedih
bersama sebuah bayang,sedih
yang pernah terlupakan,sedih
untuk kembali padanya,sedih
seribu sesal di depan mata,sedih
rasa sesal di dasar hati,sedih
haruskah aku lari dari kenyataan ini,sedih
pernah aku mencoba untuk sembunyi,sedih
namun senyummu tetap mengikuti,sedih
untuk kembali padanya,sedih
seribu sesal di depan mata,sedih
rasa sesal di dasar hati,sedih
haruskah aku lari dari kenyataan ini,sedih
pernah aku mencoba untuk sembunyi,sedih
namun senyummu tetap mengikuti,sedih
rasa sesal di dasar hati,sedih
haruskah aku lari dari kenyataan ini,sedih
pernah aku mencoba untuk sembunyi,sedih
namun senyummu tetap mengikuti,sedih
rasa sesal di dasar hati,sedih
haruskah aku lari dari kenyataan ini,sedih
pernah aku mencoba untuk sembunyi,sedih
namun senyummu tetap mengikuti,sedih
rasa sesal di dasar hati,sedih
haruskah aku lari dari kenyataan ini,sedih
pernah aku mencoba untuk sembunyi,sedih
namun senyummu tetap mengikuti,sedih
denting piano. kala jemari menari. nada merambat pelan. di kesunyian malam. saat datang rintik hujan. bersama sebuah bayang. yang pernah terlupakan. hati kecil berbisik. untuk kembali padanya. seribu kata menggoda. seribu sesal di depan mata. seperti menjelma. waktu aku tertawa. kala memberimu dosa. oh maafkanlah. oh maafkanlah. rasa sesal di dasar hati. diam tidak mau pergi. haruskah aku lari dari kenyataan ini. pernah aku mencoba untuk sembunyi. namun senyummu tetap mengikuti. hati kecil berbisik. untuk kembali padanya. seribu kata menggoda. seribu sesal di depan mata. seperti menjelma. waktu aku tertawa. kala memberimu dosa. rasa sesal di dasar hati. diam tidak mau pergi. haruskah aku lari dari kenyataan ini. pernah aku mencoba untuk sembunyi. namun senyummu tetap mengikuti. rasa sesal di dasar hati. diam tidak mau pergi. haruskah aku lari dari kenyataan ini. pernah aku mencoba untuk sembunyi. namun senyummu tetap mengikuti. rasa sesal di dasar hati. diam tidak mau pergi. haruskah aku lari dari kenyataan ini. pernah aku mencoba untuk sembunyi. namun senyummu tetap mengikuti rasa sesal di dasar hati. diam tidak mau pergi. haruskah aku lari dari kenyataan ini. pernah aku mencoba untuk sembunyi. namun senyummu tetap mengikuti,sedih
kini aku larut dilema,takut
adanya antara kalian berdua,takut
daripada aku berdusta,takut
lebih baik aku bertanya,takut
semua berharga untuk cinta,takut
izinkan aku mendekatinya sayang,takut
meski aku tau ini gila untukmu,takut
izinkan aku mencintainya sayang,takut
karena dia juga merebut hatiku,takut
menikah saja wajar kedua kali,takut
mengapa tidak pacaran,takut
semua berharga untuk cinta,takut
izinkan aku mendekatinya sayang,takut
meski aku tau ini gila untukmu,takut
izinkan aku mencintainya sayang,takut
karena dia juga merebut hatiku,takut
izinkan aku mendekatinya sayang,takut
meski aku tau ini gila untukmu,takut
izinkan aku mencintainya sayang,takut
karena dia juga merebut hatiku,takut
menikah saja wajar kedua kali,takut
mengapa tidak pacaran,takut
izinkan aku mendekatinya sayang,takut
meski aku tau ini gila untukmu,takut
izinkan aku mencintainya sayang,takut
karena dia juga merebut hatiku,takut
menikah saja wajar kedua kali,takut
mengapa tidak pacaran,takut
kini aku larut dilema. jebakan asmara. dimana kini aku rasa. adanya antara kalian berdua. semua aku rasa. cintamu cintanya. daripada aku berdusta. lebih baik aku bertanya. bolehkah aku mendua. jujurku berkata. kalian berdua. semua aku rasa. hatimu hatinya. semua berharga untuk cinta. izinkan aku mendekatinya sayang. meski aku tau ini gila untukmu. izinkan aku mencintainya sayang. karena dia juga merebut hatiku. menikah saja wajar kedua kali. mengapa tidak pacaran. semua berharga untuk cinta. izinkan aku mendekatinya sayang. meski aku tau ini gila untukmu. izinkan aku mencintainya sayang. karena dia juga merebut hatiku. izinkan aku mendekatinya sayang. meski aku tau ini gila untukmu. izinkan aku mencintainya sayang. karena dia juga merebut hatiku. menikah saja wajar kedua kali. mengapa tidak pacaran. pacaran . pacaran izinkan aku mendekatinya sayang. meski aku tau ini gila untukmu. izinkan aku mencintainya sayang. karena dia juga merebut hatiku. menikah saja wajar kedua kali. mengapa tidak pacaran,takut
seusai itu senja jadi sendu awan pun mengabu,sedih
kepergianmu menyisakan duka dalam hidupku,sedih
akumemintal rindu menyesali waktu mengapa dahulu,sedih
tidak kuucapkan aku mencintaimu sejuta kali sehari,sedih
walau masih bisa senyum,sedih
namun tidak selepas dulu,sedih
kamu dan segala kenangan,sedih
menyatu dalam waktu yang berjalan,sedih
dan aku kini sendirian,sedih
menatap dirimu hanya bayangan,sedih
tidak ada yang lebih pedih,sedih
daripada kehilangan dirimu,sedih
cintaku tidak mungkin beralih,sedih
sampai mati hanya cinta padamu padamu,sedih
walau masih bisa senyum,sedih
namun tidak selepas dulu,sedih
kamu dan segala kenangan kenangan,sedih
menyatu dalam waktu yang berjalan berjalan,sedih
dan aku kini sendirian,sedih
menatap dirimu hanya bayangan hanya bayangan,sedih
daripada kehilangan dirimu,sedih
cintaku tidak mungkin beralih,sedih
sampai mati hanya cinta padamu,sedih
tidak ada yang lebih pedih,sedih
daripada kehilangan dirimu,sedih
cintaku tidak mungkin beralih,sedih
sampai mati hanya cinta padamu,sedih
akumencintamu mencintamu,sedih
kamu kamu dan kenangan,sedih
kamu dan segala kenangan,sedih
menyatu dalam waktu yang berjalan,sedih
dan aku kini sendirian,sedih
menatap dirimu hanya bayangan,sedih
tidak ada yang lebih pedih,sedih
daripada kehilangan dirimu,sedih
cintaku tidak mungkin beralih,sedih
sampai mati hanya cinta padamu padamu,sedih
seusai itu senja jadi sendu awan pun mengabu. kepergianmu menyisakan duka dalam hidupku. akumemintal rindu menyesali waktu mengapa dahulu. tidak kuucapkan aku mencintaimu sejuta kali sehari. walau masih bisa senyum. namun tidak selepas dulu. kini aku kesepian. kamu dan segala kenangan. menyatu dalam waktu yang berjalan. dan aku kini sendirian. menatap dirimu hanya bayangan. tidak ada yang lebih pedih. daripada kehilangan dirimu. cintaku tidak mungkin beralih. sampai mati hanya cinta padamu padamu . ho o o o oh . walau masih bisa senyum. namun tidak selepas dulu. kini aku kesepian. kamu dan segala kenangan kenangan . menyatu dalam waktu yang berjalan berjalan . dan aku kini sendirian. menatap dirimu hanya bayangan hanya bayangan. o o oh . daripada kehilangan dirimu. cintaku tidak mungkin beralih. sampai mati hanya cinta padamu. tidak ada yang lebih pedih. daripada kehilangan dirimu. cintaku tidak mungkin beralih. sampai mati hanya cinta padamu. akumencintamu mencintamu . kamu kamu dan kenangan kamu dan segala kenangan. menyatu dalam waktu yang berjalan. dan aku kini sendirian. menatap dirimu hanya bayangan. tidak ada yang lebih pedih. daripada kehilangan dirimu. cintaku tidak mungkin beralih. sampai mati hanya cinta padamu padamu,sedih
perahu kertasku akan melaju,bahagia
membawa surat cinta bagimu,bahagia
kata kata yang sedikit gila,bahagia
perahu kertas mengingatkanku,bahagia
betapa ajaibnya hidup ini,bahagia
mencari cari tambatan hati,bahagia
kau sahabatku sendiri,bahagia
hidupkan lagi mimpi mimpi cinta cinta,bahagia
cita cita cinta cinta,bahagia
yang lama kupendam sendiri,bahagia
berdua aku bisa percaya,bahagia
kau telah terlahir di dunia,bahagia
di antara miliaran manusia,bahagia
tiada lagi yang mampu berdiri,bahagia
halangi rasaku cintaku padamu,bahagia
kau telah terlahir di dunia,bahagia
di antara miliaran manusia,bahagia
kau telah terlahir di dunia,bahagia
di antara miliaran manusia,bahagia
kau telah terlahir di dunia,bahagia
di antara miliaran manusia,bahagia
tiada lagi yang mampu berdiri,bahagia
halangi rasaku cintaku padamu,bahagia
perahu kertasku akan melaju. membawa surat cinta bagimu. kata kata yang sedikit gila. tapi ini adanya. perahu kertas mengingatkanku. betapa ajaibnya hidup ini. mencari cari tambatan hati. kau sahabatku sendiri. hidupkan lagi mimpi mimpi cinta cinta . cita cita cinta cinta . yang lama kupendam sendiri. berdua aku bisa percaya. aku bahagia. kau telah terlahir di dunia. dan kau ada. di antara miliaran manusia. dan aku bisa. dengan radarku. menemukanmu. tiada lagi yang mampu berdiri. halangi rasaku cintaku padamu. aku bahagia. kau telah terlahir di dunia. dan kau ada. di antara miliaran manusia. dan aku bisa. dengan radarku. menemukanmu. oh bahagia. kau telah terlahir di dunia. dan kau ada. di antara miliaran manusia. dan aku bisa. dengan radarku. menemukanmu ku bahagia. kau telah terlahir di dunia. dan kau ada. di antara miliaran manusia. dan aku bisa. dengan radarku. menemukanmu. tiada lagi yang mampu berdiri. halangi rasaku cintaku padamu,bahagia
seperti kisah yang pernah ada,bahagia
kita bersama buat cerita,bahagia
tidak pernah terbayangkan,bahagia
tetaplah kau di sampingku,bahagia
semua yang kan menggangu,bahagia
kucinta padamu kasihku oh ho,bahagia
kita bersama buat cerita,bahagia
tidak pernah terbayangkan,bahagia
tetaplah kau di sampingku,bahagia
semua yang kan menggangu,bahagia
kucinta padamu kasihku,bahagia
biarkan cita yang jadi saksinya,bahagia
kita kan selalu bersama huwo,bahagia
merangkai di setiap kisah semua,bahagia
dengan dirimu untuk selamanya,bahagia
tidak pernah terbayangkan,bahagia
tetaplah kau di sampingku,bahagia
semua yang kan menggangu,bahagia
kucinta padamu kasihku,bahagia
bila rindu pun melanda terhadapku,bahagia
bila rindu pun melanda terhadapku,bahagia
tidak pernah terbayangkan,bahagia
tetaplah kau di sampingku,bahagia
semua yang kan menggangu,bahagia
kucinta padamu kasihku oh ho,bahagia
seperti kisah yang pernah ada. kaulah bidadari hati. kita bersama buat cerita. cinta antara kita. kupernah terluka. kadang tidak berdaya. kau sih lalu ada. buatku tertawa. dan lupakan lara. tidak tahu bagaimana. aku tanpa dirimu. tidak pernah terbayangkan. sepi merindu. kumohon padamu. tetaplah kau di sampingku. hilangkan ragu. semua yang kan menggangu. kucinta padamu kasihku oh ho. kita bersama buat cerita. cinta antara kita. kupernah terluka. kadang tidak berdaya. kau sih lalu ada. buatku tertawa. dan lupakan lara ho. tidak tahu bagaimana. aku tanpa dirimu. tidak pernah terbayangkan. sepi merindu. kumohon padamu. tetaplah kau di sampingku. hilangkan ragu. semua yang kan menggangu. kucinta padamu kasihku. biarkan cita yang jadi saksinya. kita kan selalu bersama huwo. merangkai di setiap kisah semua. dengan dirimu untuk selamanya. tidak tahu bagaimana. aku tanpa dirimu. tidak pernah terbayangkan. sepi merindu. kumohon padamu. tetaplah kau di sampingku. hilangkan ragu. semua yang kan menggangu. kucinta padamu kasihku. bila rindu pun melanda terhadapku. terasa hati gelisah. bila rindu pun melanda terhadapku. terasa hati gelisah tak tahu bagaimana. aku tanpa dirimu. tidak pernah terbayangkan. sepi merindu. kumohon padamu. tetaplah kau di sampingku. hilangkan ragu. semua yang kan menggangu. kucinta padamu kasihku oh ho,bahagia
sampai saat ini tidak terpikir olehku,marah
aku pernah beri rasa pada orang sepertimu,marah
seandainya sejak awal tidak kuyakinkan diriku,marah
tutur kata yang sempurna tidak sebaik yang kukira,marah
andai aku tahu semua akan sia sia,marah
takkan kuterima cinta sesaatmu,marah
bagaimana dengan aku terlanjur mencintaimu,marah
yang datang beri harapan lalu pergi dan menghilang,marah
tidak terpikirkan olehmu hatiku hancur karenamu,marah
tanpa sedikit alasan pergi tanpa berpamitan,marah
takkan kuterima cinta sesaatmu,marah
seandainya sejak awal tidak kuyakinkan diriku,marah
tutur kata yang sempurna tidak sebaik yang kukira,marah
andai aku tahu semua akan sia sia,marah
takkan kuterima cinta sesaatmu,marah
bagaimana dengan aku terlanjur mencintaimu,marah
yang datang beri harapan lalu pergi dan menghilang,marah
tidak terpikirkan olehmu hatiku hancur karenamu,marah
tanpa sedikit alasan pergi tanpa berpamitan,marah
tidak akan kuterima cinta sesaatmu,marah
sial sialnya aku bertemu dengan cinta semu,marah
tertipu tutur dan caramu,marah
seolah cintaiku cintaiku,marah
bagaimana dengan aku terlanjur mencintaimu cintaimu,marah
yang datang beri harapan lalu pergi dan menghilang,marah
tidak terpikirkan olehmu hatiku hancur karenamu,marah
tanpa sedikit alasan pergi tanpa berpamitan,marah
takkan kuterima cinta sesaatmu,marah
bagaimana dengan aku terlanjur mencintaimu,marah
yang datang beri harapan lalu pergi dan menghilang,marah
tidak terpikirkan olehmu hatiku hancur karenamu,marah
tanpa sedikit alasan pergi tanpa berpamitan,marah
tidak akan kuterima cinta sesaatmu,marah
sial sialnya aku bertemu dengan cinta semu,marah
tertipu tutur dan caramu,marah
seolah cintaiku cintaiku,marah
sampai saat ini tidak terpikir olehku. aku pernah beri rasa pada orang sepertimu. seandainya sejak awal tidak kuyakinkan diriku. tutur kata yang sempurna tidak sebaik yang kukira. andai aku tahu semua akan sia sia. takkan kuterima cinta sesaatmu. bagaimana dengan aku terlanjur mencintaimu . yang datang beri harapan lalu pergi dan menghilang. tidak terpikirkan olehmu hatiku hancur karenamu. tanpa sedikit alasan pergi tanpa berpamitan. takkan kuterima cinta sesaatmu. seandainya sejak awal tidak kuyakinkan diriku. tutur kata yang sempurna tidak sebaik yang kukira. andai aku tahu semua akan sia sia. takkan kuterima cinta sesaatmu. bagaimana dengan aku terlanjur mencintaimu . yang datang beri harapan lalu pergi dan menghilang. tidak terpikirkan olehmu hatiku hancur karenamu. tanpa sedikit alasan pergi tanpa berpamitan. tidak akan kuterima cinta sesaatmu. sial sialnya aku bertemu dengan cinta semu. tertipu tutur dan caramu. seolah cintaiku cintaiku . puas kaucurangi aku . bagaimana dengan aku terlanjur mencintaimu cintaimu . yang datang beri harapan lalu pergi dan menghilang. tidak terpikirkan olehmu hatiku hancur karenamu. tanpa sedikit alasan pergi tanpa berpamitan. takkan kuterima cinta sesaatmu bagaimana dengan aku terlanjur mencintaimu . yang datang beri harapan lalu pergi dan menghilang. tidak terpikirkan olehmu hatiku hancur karenamu. tanpa sedikit alasan pergi tanpa berpamitan. tidak akan kuterima cinta sesaatmu. sial sialnya aku bertemu dengan cinta semu. tertipu tutur dan caramu. seolah cintaiku cintaiku . puas kaucurangi aku,marah
karena diriku bukan milikmu lagi,marah
heyya hey ya yang takkan pernah terhapus,marah
lelaki yang pernah bersamaku,marah
dan mencintaiku sepenuh hatimu,marah
tapi ternyata kau pergi,marah
cinta dan sluruh mimpiku,marah
kau takkan bisa jadikan diriku,marah
karena aku bukan milikmu,marah
aku adalah wanita yang pernah,marah
kau sakiti tapi kau tahu,marah
aku bukan milikmu lagi,marah
ku bukan milikmu lagi,marah
takkan pernah kusesali,marah
dan aku ragukan keputusan ini,marah
sebab hidup takkan berhenti sampai disini,marah
tapi ternyata kau pergi,marah
tinggalkan diriku cintaku,marah
kau takkan bisa jadikan diriku,marah
karena aku bukan milikmu,marah
aku adalah wanita yang pernah,marah
kau sakiti tapi kau tahu,marah
aku bukan milikmu lagi,marah
ku bukan milikmu lagi,marah
takkan pernah kusesali,marah
dan aku ragukan keputusan ini,marah
sebab hidup takkan berhenti sampai disini,marah
takkan bisa diriku. seperti yang kau mau. karena diriku bukan milikmu lagi. heyya hey ya yang takkan pernah terhapus. dan tidak terlupakan. dari dirimu. lelaki yang pernah bersamaku. dan mencintaiku sepenuh hatimu. tapi ternyata kau pergi. tinggalkan diriku. cinta dan sluruh mimpiku. kau takkan bisa jadikan diriku. seperti yang kau mau. karena aku bukan milikmu. aku adalah wanita yang pernah. kau sakiti tapi kau tahu. aku bukan milikmu lagi. ku bukan milikmu lagi . takkan bisa diriku. seperti yang kau mau. takkan pernah kusesali. dan aku ragukan keputusan ini. sebab hidup takkan berhenti sampai disini. hanya karena dirimu. tapi ternyata kau pergi. tinggalkan diriku cintaku. dan sluruh mimpiku kau takkan bisa jadikan diriku. seperti yang kau mau. karena aku bukan milikmu. aku adalah wanita yang pernah. kau sakiti tapi kau tahu. aku bukan milikmu lagi. ku bukan milikmu lagi . takkan bisa diriku. seperti yang kau mau. takkan pernah kusesali. dan aku ragukan keputusan ini. sebab hidup takkan berhenti sampai disini. hanya karena dirimu,marah
menemanimu setiap waktu,marah
bahkan sekarang ada yang kurang,marah
bila kau tidak datang,marah
kau bercerita tentang dirinya,marah
tentang hubungan yang tidak pasti,marah
meskipun itu menyakiti hatiku,marah
cukup sudah maumu apa,marah
dia tidak buatmu bahagia,marah
kau menangis dipundakku,marah
dan tertawa bersamanya,marah
seenaknya saja kau datang,marah
dan semudah itu kau pergi,marah
kau tidak tau atau pura pura tidak tau hatiku,marah
teganya kamu memilih dia yang hanya membuatmu terluka,marah
kau menangis dipundak ku,marah
dan tertawa bersamanya,marah
seenaknya saja kau datang,marah
dan semudah itu kau pergi,marah
siapa yang selalu ada,marah
kau menangis dipundak ku,marah
dan tertawa bersamanya,marah
seenaknya saja kau datang,marah
dan semudah itu kau pergi,marah
kau menangis dipundakku,marah
dan tertawa bersamanya,marah
seenaknya saja kau datang,marah
dan semudah itu kau pergi,marah
kau tidak tau atau pura pura tidak tau hatiku,marah
teganya kamu memilih dia yang hanya membuatmu terluka,marah
kau menangis dipundak ku,marah
dan tertawa bersamanya,marah
seenaknya saja kau datang,marah
dan semudah itu kau pergi,marah
siapa yang selalu ada,marah
menemanimu setiap waktu. telah jadi hidupku. bahkan sekarang ada yang kurang. bila kau tidak datang. kau bercerita tentang dirinya. tentang hubungan yang tidak pasti. aku mendengarkanmu. meskipun itu menyakiti hatiku. cukup sudah maumu apa. dia tidak buatmu bahagia. kan ada aku ada aku. kamu anggap apa. perasaanku ini. kau menangis dipundakku. dan tertawa bersamanya. jangan hanya karena. kau tau aku ada. seenaknya saja kau datang. dan semudah itu kau pergi. kau tidak tau atau pura pura tidak tau hatiku. teganya kamu memilih dia yang hanya membuatmu terluka. kamu anggap apa. perasaanku ini. kau menangis dipundak ku. dan tertawa bersamanya. jangan hanya karena. kau tau aku ada. seenaknya saja kau datang. dan semudah itu kau pergi. siapa yang selalu ada. saat kau butuh cinta. aku bukan dia. kamu anggap apa. perasaanku ini. kau menangis dipundak ku. dan tertawa bersamanya. jangan hanya karena. kau tau aku ada. seenaknya saja kau datang. dan semudah itu kau pergi kamu anggap apa. perasaanku ini. kau menangis dipundakku. dan tertawa bersamanya. jangan hanya karena. kau tau aku ada. seenaknya saja kau datang. dan semudah itu kau pergi. kau tidak tau atau pura pura tidak tau hatiku. teganya kamu memilih dia yang hanya membuatmu terluka. kamu anggap apa. perasaanku ini. kau menangis dipundak ku. dan tertawa bersamanya. jangan hanya karena. kau tau aku ada. seenaknya saja kau datang. dan semudah itu kau pergi. siapa yang selalu ada. saat kau butuh cinta. aku bukan dia,marah
mengubah jalan hidupku,bahagia
kau selalu ada untukku,bahagia
semua mungkin pernah merasa,bahagia
sayang dengan teman yang selama ini ada,bahagia
tidak semua bisa kuungkapkan,bahagia
sering kali tidak berani dibuatnya,bahagia
namun kupercaya kita akan bersama,bahagia
suatu hari telah kuucapkan,bahagia
kata kata hingga akhirnya kau setuju,bahagia
semua mungkin pernah merasa,bahagia
sayang dengan teman yang selama ini ada,bahagia
tidak semua bisa kuungkapkan,bahagia
sering kali tidak berani dibuatnya,bahagia
namun kupercaya kita akan bersama,bahagia
suatu hari telah kuucapkan,bahagia
kata kata hingga akhirnya kau setuju,bahagia
mungkinkah kita saling pergi,bahagia
namun kupercaya kita akan bersama,bahagia
suatu hari telah kuucapkan,bahagia
kata kata hingga akhirnya kau setuju,bahagia
tapi kita tidak saling pergi,bahagia
tak semua bisa kuungkapkan,bahagia
sering kali tidak berani dibuatnya,bahagia
namun kupercaya kita akan bersama,bahagia
suatu hari telah kuucapkan,bahagia
kata kata hingga akhirnya kau setuju,bahagia
