lyrics,emotion,lirik_clean
serasa galih dan ratna,sedih,serasa galih ratna
yang kumau kau untukku meskipun kau tidak rindu,sedih,mau kau untuk meski kau rindu
andai aku bisa. menjadi seperti yang kau meminta. aku jadi juwita. kala cinta menggoda. tidak peduli jika. surga dan neraka tidak pernah ada. yang penting kau ada. meski tanpa panah asmara. mengapa sabda alam belum jua satukan kisah . kita bersama. cintaku bertepuk. harap yang tidak ada. rintihan nada asmara. ingin aku kembali ke masa remaja. serasa galih dan ratna. yang kumau kau untukku meskipun kau tidak rindu. engkau aku suka. aku ingin cinta. tebar semerbak percik pesona. wahai angin malam. bantu aku merepih alam. meskipun kidung ini terlalu. aku yakin badai pasti berlalu. lilin lilin kecil pun merayu. pijar hatimu. cintaku bertepuk. harap yang tidak ada. rintihan nada asmara. ingin aku kembali ke masa remaja. serasa galih dan ratna. yang kumau kau untukku meskipun kau tidak rindu. engkau aku suka. ternyata cinta di hadapan hatimu. hanya kesenian lain. cintaku bertepuk. harap yang tidak ada. rintihan nada asmara. ingin aku kembali ke masa remaja. serasa galih dan ratna. yang kumau kau untukku meskipun kau tidak rindu. engkau aku suka. cintaku bertepuk. harap yang tidak ada. rintihan nada asmara. kau kehidupanku meski kau tidak tau ada aku di hidupmu. yang kumau kau untukku meskipun kau tidak rindu. engkau aku suka cintaku bertepuk. harap yang tidak ada. rintihan nada asmara. ingin aku kembali ke masa remaja. serasa galih dan ratna. yang kumau kau untukku meskipun kau tidak rindu. engkau aku suka,sedih,andai aku jadi kau minta aku jadi juwita kala cinta goda peduli surga neraka pernah penting kau meski panah asmara sabda alam jua satu kisah sama cinta tepuk harap rintih nada asmara aku ke masa remaja serasa galih ratna mau kau untuk meski kau rindu engkau aku suka aku cinta tebar semerbak percik pesona wahai angin malam bantu aku repih alam meski kidung terlalu aku yakin badai lalu lilin lilin kecil rayu pijar hati cinta tepuk harap rintih nada asmara aku ke masa remaja serasa galih ratna mau kau untuk meski kau rindu engkau aku suka nyata cinta hadap hati seni cinta tepuk harap rintih nada asmara aku ke masa remaja serasa galih ratna mau kau untuk meski kau rindu engkau aku suka cinta tepuk harap tidak rintih nada asmara kau hidup meski kau tidak tau aku hidup mau kau untuk meski kau tidak rindu engkau aku suka cinta tepuk harap yang tidak rintih nada asmara aku ke masa remaja serasa galih ratna yang mau kau untuk meski kau tidak rindu engkau aku suka
makan di resto terenak,sedih,makan resto enak
membaca di sudut paling tenang,sedih,baca sudut paling tenang
menonton pertunjukan musik,sedih,tonton tunjuk musik
telurusuri jalanan dari malam hingga pagi,sedih,telurusuri jalan malam hingga pagi
kita pernah lama bersama,sedih,pernah lama sama
semua titik di kota ini adalah kita,sedih,semua titik kota adalah
walau kau putuskan untuk pergi,sedih,kau putus pergi
cerita kita tetap kan abadi,sedih,cerita tetap kan abadi
percayalah sayang berpisah itu mudah,sedih,percaya sayang pisah mudah
tidak ada kamu dihidupku aku mampu,sedih,ada kamu hidup aku mampu
namun menghapuskan semua kenangan kita,sedih,hapus semua kenang
adalah hal yang paling menyulitkan untukku,sedih,hal paling sulit untuk
simpan baju kesayangan,sedih,simpan baju sayang
tutup album foto aku rapat rapat,sedih,tutup album foto aku rapat rapat
buang buku buku puisi,sedih,buang buku buku puisi
mengganti semua dekorasi,sedih,ganti semua dekorasi
semua hal yang kucoba lupakan,sedih,semua yang coba lupa
selalu berujung padamu,sedih,selalu ujung pada
semua tempat yang aku datangi,sedih,semua tempat aku datang
percayalah sayang berpisah itu mudah,sedih,percaya sayang pisah mudah
tidak ada kamu dihidupku aku mampu,sedih,ada kamu hidup aku mampu
namun menghapuskan semua kenangan kita,sedih,hapus semua kenang
adalah hal yang paling menyulitkan untukku,sedih,hal paling sulit untuk
percayalah sayang berpisah itu mudah,sedih,percaya sayang pisah mudah
tidak ada kamu dihidupku aku mampu,sedih,ada kamu hidup aku mampu
namun menghapuskan semua kenangan kita,sedih,hapus semua kenang
adalah hal yang paling menyulitkan,sedih,hal paling sulit
adalah hal yang paling menyebalkan,sedih,hal paling sebal
adalah hal yang paling menyusahkan untukku,sedih,hal paling susah untuk
percayalah sayang berpisah itu mudah,sedih,percaya sayang pisah mudah
tidak ada kamu dihidupku aku mampu,sedih,ada kamu hidup aku mampu
namun menghapuskan semua kenangan kita,sedih,hapus semua kenang
adalah hal yang paling menyulitkan untukku,sedih,hal paling sulit untuk
makan di resto terenak. membaca di sudut paling tenang. menonton pertunjukan musik. telurusuri jalanan dari malam hingga pagi. kita pernah lama bersama. semua titik di kota ini adalah kita. walau kau putuskan untuk pergi. cerita kita tetap kan abadi. percayalah sayang berpisah itu mudah. tidak ada kamu dihidupku aku mampu. namun menghapuskan semua kenangan kita. adalah hal yang paling menyulitkan untukku. simpan baju kesayangan. tutup album foto aku rapat rapat. buang buku buku puisi. mengganti semua dekorasi. semua hal yang kucoba lupakan. selalu berujung padamu. semua tempat yang aku datangi. selalu ada kamu. kamu lagi. kamu kamu lagi. kamu lagi. percayalah sayang berpisah itu mudah. tidak ada kamu dihidupku aku mampu. namun menghapuskan semua kenangan kita. adalah hal yang paling menyulitkan untukku. percayalah sayang berpisah itu mudah. tidak ada kamu dihidupku aku mampu. namun menghapuskan semua kenangan kita. adalah hal yang paling menyulitkan. adalah hal yang paling menyebalkan. adalah hal yang paling menyusahkan untukku percayalah sayang berpisah itu mudah. tidak ada kamu dihidupku aku mampu. namun menghapuskan semua kenangan kita. adalah hal yang paling menyulitkan untukku,sedih,makan resto enak baca sudut paling tenang tonton tunjuk musik telurusuri jalan malam hingga pagi pernah lama sama semua titik kota walau kau putus pergi cerita tetap kan abadi percaya sayang pisah mudah kamu hidup aku mampu hapus semua kenang paling sulit untuk simpan baju sayang tutup album foto aku rapat rapat buang buku buku puisi ganti semua dekorasi semua coba lupa selalu ujung pada semua tempat aku datang selalu ada kamu kamu kamu kamu kamu percaya sayang pisah mudah ada kamu hidup aku mampu hapus semua kenang adalah yang paling sulit untuk percaya sayang pisah mudah ada kamu hidup aku mampu hapus semua kenang adalah yang paling sulit adalah yang paling sebal adalah hal yang paling susah untuk percaya sayang pisah mudah ada kamu hidup aku mampu hapus semua kenang adalah hal yang paling sulit untuk
berdebar rasa di dada,bahagia,debar rasa dada
setiap kau tatap mataku,bahagia,kau tatap mata
apakah arti pandangan itu menunjukkan hasratmu,bahagia,arti pandang tunjuk hasrat
sungguh aku telah tergoda saat kau dekat denganku,bahagia,sungguh aku goda kau dekat dengan
hanya kau yang membuatku begini,bahagia,kau buat begini
sudah kubilang sayang,bahagia,bilang sayang
diam tersenyum kepadaku,bahagia,diam senyum kepada
ingin rasanya kau jadi milikku,bahagia,rasa kau jadi milik
aku akan setia menunggu,bahagia,aku setia tunggu
satu kata yang terucap,bahagia,satu kata ucap
dari isi hati sanubarimu sanubarimu,bahagia,isi hati sanubari sanubari
yang membuatku bahagia,bahagia,buat bahagia
sungguh aku telah tergoda,bahagia,sungguh aku goda
saat kau dekat denganku,bahagia,kau dekat dengan
hanya kau yang membuatku begini,bahagia,kau buat begini
sudah kubilang sayang,bahagia,bilang sayang
diam tersenyum kepadaku,bahagia,diam senyum kepada
ingin rasanya kau jadi milikku,bahagia,rasa kau jadi milik
sudah kubilang sayang,bahagia,bilang sayang
diam tersenyum kepadaku,bahagia,diam senyum kepada
ingin rasanya kau jadi milikku,bahagia,rasa kau jadi milik
ingin rasanya kau jadi milikku,bahagia,rasa kau jadi milik
ingin rasanya kau jadi milikku,bahagia,rasa kau jadi milik
sudah kubilang sayang,bahagia,bilang sayang
diam tersenyum kepadaku,bahagia,diam senyum kepada
ingin rasanya kau jadi milikku,bahagia,rasa kau jadi milik
berdebar rasa di dada. setiap kau tatap mataku. apakah arti pandangan itu menunjukkan hasratmu. sungguh aku telah tergoda saat kau dekat denganku. hanya kau yang membuatku begini. melepas panah asmara. sudah katakan cinta. sudah kubilang sayang. namun kau hanya. diam tersenyum kepadaku. kau buat aku bimbang. kau buat aku gelisah. ingin rasanya kau jadi milikku. aku akan setia menunggu. satu kata yang terucap. dari isi hati sanubarimu sanubarimu . yang membuatku bahagia. sungguh aku telah tergoda. saat kau dekat denganku. hanya kau yang membuatku begini. melepas panah asmara. sudah katakan cinta. sudah kubilang sayang. namun kau hanya. diam tersenyum kepadaku. kau buat aku bimbang. kau buat aku gelisah. ingin rasanya kau jadi milikku. panah asmara. panah asmara. panah asmara. panah asmara. panah asmara. panah asmara. panah asmara. panah asmara. panah asmara. panah asmara. sudah katakan cinta. sudah kubilang sayang. namun kau hanya. diam tersenyum kepadaku. kau buat aku bimbang. kau buat aku gelisah. ingin rasanya kau jadi milikku. kau buat aku bimbang. kau buat aku gelisah. ingin rasanya kau jadi milikku. ingin rasanya kau jadi milikku. panah asmara. panah asmara. panah asmara. panah asmara. panah asmara sudah katakan cinta. sudah kubilang sayang. namun kau hanya. diam tersenyum kepadaku. kau buat aku bimbang. kau buat aku gelisah. ingin rasanya kau jadi milikku,bahagia,debar rasa dada kau tatap mata arti pandang tunjuk hasrat sungguh aku goda kau dekat dengan kau buat begini lepas panah asmara kata cinta bilang sayang kau diam senyum kepada kau buat aku bimbang kau buat aku gelisah rasa kau jadi milik aku setia tunggu satu kata ucap isi hati sanubari sanubari buat bahagia sungguh aku goda kau dekat dengan kau buat begini lepas panah asmara kata cinta bilang sayang kau diam senyum kepada kau buat aku bimbang kau buat aku gelisah rasa kau jadi milik panah asmara panah asmara panah asmara panah asmara panah asmara panah asmara panah asmara panah asmara panah asmara panah asmara kata cinta bilang sayang kau diam senyum kepada kau buat aku bimbang kau buat aku gelisah rasa kau jadi milik kau buat aku bimbang kau buat aku gelisah rasa kau jadi milik rasa kau jadi milik panah asmara panah asmara panah asmara panah asmara panah asmara kata cinta bilang sayang kau diam senyum kepada kau buat aku bimbang kau buat aku gelisah rasa kau jadi milik
bun hidup berjalan seperti bajingan,bahagia,bun hidup jalan bajing
seperti landak yang tidak punya teman,bahagia,landak tidak punya teman
ia menggonggong bak suara hujan,bahagia,gonggong bak suara hujan
dan kau pangeranku mengambil peran,bahagia,kau pangeran ambil peran
bun kalau saat hancur aku disayang,bahagia,bun kalau hancur aku sayang
apalagi saat aku jadi juara,bahagia,saat aku jadi juara
saat tidak tahu arah kau di sana,bahagia,tidak tahu arah kau sana
menjadi gagah saat aku tidak bisa,bahagia,jadi gagah aku bisa
sedikit kujelaskan tentangku dan kamu,bahagia,sedikit jelas tentang kamu
agar seisi dunia tahu,bahagia,isi dunia tahu
keras kepalaku sama denganmu,bahagia,keras kepala sama dengan
caraku marah caraku tersenyum,bahagia,cara marah cara senyum
seperti detak jantung yang bertaut,bahagia,detak jantung taut
nyawaku nyala karena denganmu,bahagia,nyawa nyala dengan
aku masih ada sampai di sini,bahagia,aku ada di sini
melihatmu kuat setengah mati,bahagia,lihat kuat tengah mati
seperti detak jantung yang bertaut,bahagia,detak jantung taut
nyawaku nyala karena denganmu,bahagia,nyawa nyala dengan
bun aku masih tidak mengerti banyak hal,bahagia,bun aku tidak erti banyak
semuanya berenang di kepala,bahagia,semua renang kepala
dan kau dan semua yang kau tahu tentangnya,bahagia,kau semua kau tahu tentang
menjadi jawab saat aku bertanya,bahagia,jadi jawab aku tanya
sedikit kujelaskan tentangku dan kamu,bahagia,sedikit jelas tentang kamu
agar seisi dunia tahu,bahagia,isi dunia tahu
keras kepalaku sama denganmu,bahagia,keras kepala sama dengan
caraku marah caraku tersenyum,bahagia,cara marah cara senyum
seperti detak jantung yang bertaut,bahagia,detak jantung taut
nyawaku nyala karena denganmu,bahagia,nyawa nyala dengan
aku masih ada sampai di sini,bahagia,aku ada di sini
melihatmu kuat setengah mati,bahagia,lihat kuat tengah mati
seperti detak jantung yang bertaut,bahagia,detak jantung taut
nyawaku nyala karena denganmu,bahagia,nyawa nyala dengan
semoga lama hidupmu di sini,bahagia,moga lama hidup sini
melihatku berjuang sampai akhir,bahagia,lihat juang akhir
seperti detak jantung yang bertaut,bahagia,detak jantung taut
nyawaku nyala karena denganmu,bahagia,nyawa nyala dengan
keras kepalaku sama denganmu,bahagia,keras kepala sama dengan
caraku marah caraku tersenyum,bahagia,cara marah cara senyum
seperti detak jantung yang bertaut,bahagia,detak jantung taut
nyawaku nyala karena denganmu,bahagia,nyawa nyala dengan
aku masih ada sampai di sini,bahagia,aku ada di sini
melihatmu kuat setengah mati,bahagia,lihat kuat tengah mati
seperti detak jantung yang bertaut,bahagia,detak jantung taut
nyawaku nyala karena denganmu,bahagia,nyawa nyala dengan
bun hidup berjalan seperti bajingan. seperti landak yang tidak punya teman. ia menggonggong bak suara hujan. dan kau pangeranku mengambil peran. bun kalau saat hancur aku disayang. apalagi saat aku jadi juara. saat tidak tahu arah kau di sana. menjadi gagah saat aku tidak bisa. sedikit kujelaskan tentangku dan kamu. agar seisi dunia tahu. keras kepalaku sama denganmu. caraku marah caraku tersenyum. seperti detak jantung yang bertaut. nyawaku nyala karena denganmu. aku masih ada sampai di sini. melihatmu kuat setengah mati. seperti detak jantung yang bertaut. nyawaku nyala karena denganmu. bun aku masih tidak mengerti banyak hal. semuanya berenang di kepala. dan kau dan semua yang kau tahu tentangnya. menjadi jawab saat aku bertanya. sedikit kujelaskan tentangku dan kamu. agar seisi dunia tahu. keras kepalaku sama denganmu. caraku marah caraku tersenyum. seperti detak jantung yang bertaut. nyawaku nyala karena denganmu. aku masih ada sampai di sini. melihatmu kuat setengah mati. seperti detak jantung yang bertaut. nyawaku nyala karena denganmu. semoga lama hidupmu di sini. melihatku berjuang sampai akhir. seperti detak jantung yang bertaut. nyawaku nyala karena denganmu keras kepalaku sama denganmu. caraku marah caraku tersenyum. seperti detak jantung yang bertaut. nyawaku nyala karena denganmu. aku masih ada sampai di sini. melihatmu kuat setengah mati. seperti detak jantung yang bertaut. nyawaku nyala karena denganmu,bahagia,bun hidup jalan bajing landak punya teman gonggong bak suara hujan kau pangeran ambil peran bun kalau hancur aku sayang aku jadi juara tidak tahu arah kau sana jadi gagah aku tidak bisa sedikit jelas tentang kamu isi dunia tahu keras kepala sama dengan cara marah cara senyum detak jantung taut nyawa nyala dengan aku ada sini lihat kuat tengah mati detak jantung taut nyawa nyala dengan bun aku tidak erti banyak semua renang kepala kau semua kau tahu tentang jadi jawab saat aku tanya sedikit jelas tentang kamu isi dunia tahu keras kepala sama dengan cara marah cara senyum detak jantung taut nyawa nyala dengan aku ada di sini lihat kuat tengah mati detak jantung taut nyawa nyala dengan moga lama hidup di sini lihat juang akhir detak jantung taut nyawa nyala dengan keras kepala sama dengan cara marah cara senyum detak jantung taut nyawa nyala dengan aku ada di sini lihat kuat tengah mati detak jantung taut nyawa nyala dengan
jeritan perih hati yang luka,sedih,jerit perih hati luka
cinta sederhana kau buat merana,sedih,cinta sederhana kau buat merana
bilang bilang sayang lalu hilang tanpa bayang,sedih,bilang bilang sayang lalu hilang bayang
merona mata namun percuma,sedih,rona mata percuma
kau anggap bercinta hanya tawa canda,sedih,kau anggap cinta tawa canda
ajak aku bermanja dan pergi begitu saja,sedih,ajak aku manja pergi saja
nyanyian hati serenata jiwa yang lara sunyi,sedih,nyanyi hati serenata jiwa lara sunyi
terbenam sudah mentari hati,sedih,benam mentari hati
gugur lagi asmara mewangi,sedih,gugur asmara wangi
sorai gelora hati menepi,sedih,sorai gelora hati tepi
tidak ada bintang bintang menari,sedih,ada bintang bintang tari
sendiri lagi oh oh oh,sedih,sendiri oh oh
merona mata namun percuma,sedih,rona mata percuma
kau anggap bercinta hanya canda,sedih,kau anggap cinta canda
ajak aku bermanja dan pergi begitu saja,sedih,ajak aku manja pergi saja
nyanyian hati serenata jiwa yang lara sunyi menyepi,sedih,nyanyi hati serenata jiwa lara sunyi nyepi
kemana rasa yang kucari bila kau tinggal aku sendiri,sedih,rasa cari bila kau tinggal aku sendiri
jeritan perih hati yang luka,sedih,jerit perih hati luka
cinta sederhana kau buat merana,sedih,cinta sederhana kau buat merana
bilang bilang sayang lalu hilang tanpa bayang,sedih,bilang bilang sayang lalu hilang bayang
nyanyian hati serenata jiwa yang lara sunyi,sedih,nyanyi hati serenata jiwa lara sunyi
oh maaf sayang aku tidak ingin melukai,sedih,maaf sayang aku ingin luka
namun cinta ini bukan untukmu lagi,sedih,cinta bukan untuk
agar kau temukan cintamu belahan relung hati,sedih,kau temu cinta bahan relung hati
aku pulang terbenam sudah mentari hati,sedih,aku pulang benam mentari hati
aku pulang gugur lagi asmara mewangi,sedih,aku pulang gugur asmara wangi
sorai gelora hati menepi,sedih,sorai gelora hati tepi
tidak ada bintang bintang menari,sedih,ada bintang bintang tari
sendiri lagi terbenam sudah mentari hati,sedih,sendiri benam mentari hati
lagi sendiri sendiri sendiri,sedih,sendiri sendiri sendiri
sorai gelora hati menepi,sedih,sorai gelora hati tepi
tidak ada bintang bintang menari,sedih,ada bintang bintang tari
sendiri sendiri sendiri,sedih,sendiri sendiri sendiri
sendiri sendiri sendiri,sedih,sendiri sendiri sendiri
oh sendiri lagi oh oh oh,sedih,sendiri oh oh
terbenam sudah mentari hati,sedih,benam mentari hati
gugur lagi asmara mewangi,sedih,gugur asmara wangi
sorai gelora hati menepi,sedih,sorai gelora hati tepi
tidak ada bintang bintang menari,sedih,ada bintang bintang tari
sendiri lagi oh oh oh,sedih,sendiri oh oh
jeritan perih hati yang luka. cinta sederhana kau buat merana. bilang bilang sayang lalu hilang tanpa bayang. sesuka diri. merona mata namun percuma. kau anggap bercinta hanya tawa canda. ajak aku bermanja dan pergi begitu saja. ditelan bumi. nyanyian hati serenata jiwa yang lara sunyi. aku pulang. terbenam sudah mentari hati. aku pulang. gugur lagi asmara mewangi. sorai gelora hati menepi. tidak ada bintang bintang menari. sendiri lagi oh oh oh. hah. merona mata namun percuma. kau anggap bercinta hanya canda. ajak aku bermanja dan pergi begitu saja. ditelan dunia. nyanyian hati serenata jiwa yang lara sunyi menyepi. kemana rasa yang kucari bila kau tinggal aku sendiri. jeritan jeritan. jeritan perih hati yang luka. cinta sederhana kau buat merana. bilang bilang sayang lalu hilang tanpa bayang. sesuka diri. nyanyian hati serenata jiwa yang lara sunyi. oh maaf sayang aku tidak ingin melukai. namun cinta ini bukan untukmu lagi. oh aku pulang kasih. agar kau temukan cintamu belahan relung hati. aku pulang terbenam sudah mentari hati . aku pulang gugur lagi asmara mewangi . sorai gelora hati menepi. tidak ada bintang bintang menari. sendiri lagi terbenam sudah mentari hati . lagi sendiri sendiri sendiri . sorai gelora hati menepi. tidak ada bintang bintang menari. sendiri lagi. sendiri sendiri sendiri. sendiri sendiri sendiri. oh sendiri lagi oh oh oh aku pulang. terbenam sudah mentari hati. aku pulang. gugur lagi asmara mewangi. sorai gelora hati menepi. tidak ada bintang bintang menari. sendiri lagi oh oh oh,sedih,jerit perih hati luka cinta sederhana kau buat merana bilang bilang sayang lalu hilang bayang suka diri rona mata percuma kau anggap cinta tawa canda ajak aku manja pergi saja tel bumi nyanyi hati serenata jiwa lara sunyi aku pulang benam mentari hati aku pulang gugur asmara wangi sorai gelora hati tepi ada bintang bintang tari sendiri hah rona mata percuma kau anggap cinta canda ajak aku manja pergi saja tel dunia nyanyi hati serenata jiwa lara sunyi nyepi rasa cari bila kau tinggal aku sendiri jerit jerit jerit perih hati luka cinta sederhana kau buat merana bilang bilang sayang lalu hilang bayang suka diri nyanyi hati serenata jiwa lara sunyi maaf sayang aku ingin luka cinta bukan untuk aku pulang kasih kau temu cinta bahan relung hati aku pulang benam mentari hati aku pulang gugur asmara wangi sorai gelora hati tepi ada bintang bintang tari sendiri benam mentari hati sendiri sendiri sendiri sorai gelora hati tepi ada bintang bintang tari sendiri sendiri sendiri sendiri sendiri sendiri sendiri oh sendiri oh oh oh aku pulang benam mentari hati aku pulang gugur asmara wangi sorai gelora hati tepi ada bintang bintang tari sendiri oh oh oh
kulihat ada yang bersinar,bahagia,lihat yang sinar
di kedua bola matamu oh kasihku,bahagia,dua bola mata kasih
kau buat malam gelap ini,bahagia,kau buat malam gelap
kasih andai anganku bersuara dia kan bernyanyi,bahagia,kasih andai angan suara kan nyanyi
rapsodi indah yang kan bermuara di fajar hati,bahagia,rapsodi indah kan muara fajar hati
kelingking kita berjanji,bahagia,kelingking janji
jari manis jadi saksi,bahagia,jari manis jadi saksi
kau buat aku sempurna,bahagia,kau buat aku sempurna
saat kau berkata iya oh kasihku,bahagia,kau kata iya kasih
kau izinkan aku berlaga,bahagia,kau izin aku laga
mengarungi dunia mengarungi dunia,bahagia,arung dunia arung dunia
kasih andai anganku bersuara dia kan bernyanyi,bahagia,kasih andai angan suara kan nyanyi
rapsodi indah yang kan bermuara di fajar hati,bahagia,rapsodi indah kan muara fajar hati
kelingking kita berjanji,bahagia,kelingking janji
jari manis jadi saksi,bahagia,jari manis jadi saksi
kita saling bersandar,bahagia,saling sandar
hingga bumi tidak berputar,bahagia,hingga bumi putar
cinta kita takkan pudar,bahagia,cinta tak pudar
kasih dengar anganku bersuara di fajar hati,bahagia,kasih dengar angan suara fajar hati
kelingking kita berjanji,bahagia,kelingking janji
jari manis jadi saksi,bahagia,jari manis jadi saksi
kasih andai anganku bersuara dia kan bernyanyi,bahagia,kasih andai angan suara kan nyanyi
rapsodi indah yang kan bermuara di fajar hati,bahagia,rapsodi indah kan muara fajar hati
kelingking kita berjanji,bahagia,kelingking janji
jari manis jadi saksi,bahagia,jari manis jadi saksi
hingga sang bumi tak berputar lagi,bahagia,hingga sang bumi tak putar
kasih andai anganku bersuara dia kan bernyanyi di sisiku,bahagia,kasih andai angan suara kan nyanyi sisi
rapsodi indah yang kan bermuara di fajar hati,bahagia,rapsodi indah kan muara fajar hati
kelingking kita berjanji,bahagia,kelingking janji
jari manis jadi saksi,bahagia,jari manis jadi saksi
kasih andai anganku bersuara dia kan bernyanyi,bahagia,kasih andai angan suara kan nyanyi
rapsodi indah yang kan bermuara di fajar hati,bahagia,rapsodi indah kan muara fajar hati
kelingking kita berjanji,bahagia,kelingking janji
jari manis jadi saksi,bahagia,jari manis jadi saksi
kulihat ada yang bersinar. di kedua bola matamu oh kasihku . kau buat malam gelap ini. jadi penuh cahaya. terang kilau pesona. kasih andai anganku bersuara dia kan bernyanyi. rapsodi indah yang kan bermuara di fajar hati. kelingking kita berjanji. jari manis jadi saksi. bahagia. hingga sang bumi. enggan berputar lagi. kau buat aku sempurna. saat kau berkata iya oh kasihku . kau izinkan aku berlaga. mengarungi dunia mengarungi dunia . di sisimu selamanya. kasih andai anganku bersuara dia kan bernyanyi. rapsodi indah yang kan bermuara di fajar hati. kelingking kita berjanji. jari manis jadi saksi. bahagia. hingga sang bumi. tidak berputar lagi. lala. kita saling bersandar. lala. hingga bumi tidak berputar. cinta kita takkan pudar. selamanya. kasih dengar anganku bersuara di fajar hati. kelingking kita berjanji. jari manis jadi saksi. bahagia. untuk selamanya. kasih andai anganku bersuara dia kan bernyanyi. rapsodi indah yang kan bermuara di fajar hati. kelingking kita berjanji. jari manis jadi saksi. bahagia. hingga sang bumi tak berputar lagi . kasih andai anganku bersuara dia kan bernyanyi di sisiku . rapsodi indah yang kan bermuara di fajar hati. kelingking kita berjanji. jari manis jadi saksi. bahagia. hingga sang bumi. enggan berputar lagi kasih andai anganku bersuara dia kan bernyanyi. rapsodi indah yang kan bermuara di fajar hati. kelingking kita berjanji. jari manis jadi saksi. bahagia. hingga sang bumi. tidak berputar lagi,bahagia,lihat sinar dua bola mata kasih kau buat malam gelap jadi penuh cahaya terang kilau pesona kasih andai angan suara kan nyanyi rapsodi indah kan muara fajar hati kelingking janji jari manis jadi saksi bahagia hingga sang bumi enggan putar kau buat aku sempurna kau kata iya kasih kau izin aku laga arung dunia arung dunia sisi lama kasih andai angan suara kan nyanyi rapsodi indah kan muara fajar hati kelingking janji jari manis jadi saksi bahagia hingga sang bumi putar lala saling sandar lala hingga bumi putar cinta tak pudar lama kasih dengar angan suara fajar hati kelingking janji jari manis jadi saksi bahagia lama kasih andai angan suara kan nyanyi rapsodi indah kan muara fajar hati kelingking janji jari manis jadi saksi bahagia hingga sang bumi tak putar kasih andai angan suara kan nyanyi sisi rapsodi indah kan muara fajar hati kelingking janji jari manis jadi saksi bahagia hingga sang bumi enggan putar kasih andai angan suara kan nyanyi rapsodi indah yang kan muara fajar hati kelingking janji jari manis jadi saksi bahagia hingga sang bumi putar
bagaimanakah kabar diriku baik baik saja,marah,bagaimana kabar diri baik baik
sedikit aku takjub namun nyatanya sudah kuduga,marah,sedikit aku takjub nyata duga
kau yang ke sana kemari kau anggap aku tidak cukup,marah,kau ke sana kemari kau anggap aku cukup
semua kesempatan dan langkahku coba kau tutup,marah,semua sempat langkah coba kau tutup
tutur batinku tidak akan salah,marah,tutur batin akan salah
silakan pergi aku tidak rasa kalah,marah,sila pergi aku rasa kalah
namun percayalah sejauh mana kau mencari,marah,percaya jauh mana kau cari
takkan kau temukan yang sebaik ini,marah,tak kau temu baik
kau yang ke sana kemari kau anggap aku tidak cukup,marah,kau ke sana kemari kau anggap aku cukup
semua kesempatan dan langkahku coba kau tutup,marah,semua sempat langkah coba kau tutup
akan kubuat jalanku sendiri,marah,buat jalan sendiri
tutur batinku tidak akan salah,marah,tutur batin akan salah
silakan pergi aku tidak rasa kalah,marah,sila pergi aku rasa kalah
namun percayalah sejauh mana kau mencari,marah,percaya jauh mana kau cari
takkan kau temukan yang sebaik ini,marah,tak kau temu baik
akan kurayakan apa adanya,marah,raya apa ada
akan kurayakan apa adanya,marah,raya apa ada
akan kurayakan apa adanya,marah,raya apa ada
tutur batinku tidak akan salah,marah,tutur batin akan salah
silakan pergi aku tidak rasa kalah,marah,sila pergi aku rasa kalah
namun percayalah sejauh mana kau mencari,marah,percaya jauh mana kau cari
takkan kau temukan yang sebaik ini,marah,tak kau temu baik
takkan kau temukan yang sebaik ini,marah,tak kau temu baik
jiwa yang terbaik itu hanya,marah,jiwa baik hanya
tutur batinku tidak akan salah,marah,tutur batin akan salah
silakan pergi aku tidak rasa kalah,marah,sila pergi aku rasa kalah
namun percayalah sejauh mana kau mencari,marah,percaya jauh mana kau cari
takkan kau temukan yang sebaik ini,marah,tak kau temu baik
